Bank Name,Bank ID,Account Number,Entity ID,Entity Name
Savings Bank of Billings,22124,807A335F0,8013D9560,Corporation #10738
First Bank of Omaha,2368,804296C10,8001FDA80,Partnership #6634
Savings Bank of Augusta,214342,805C8CD50,8004690E0,Sole Proprietorship #70827
Savings Bank of Denver,212996,807762A70,80139D050,Sole Proprietorship #562
National Bank of Albany,1638,80104D140,800174720,Partnership #64328
Oasis Credit Union,1291,8021DB390,8000B2060,Corporation #4495
Sunrise Credit Union,12592,8073F38B0,80144CC80,Partnership #3182
Baltech Bank,5855,8074A0D40,801187F20,Partnership #2570
China Bank #47,210484,804083AA0,800DC7470,Corporation #40355
Willows Federal Bank,4187,8074CCE60,800E88880,Partnership #10542
Savings Bank of Tuscon,5617,80359C9A0,8003306A0,Sole Proprietorship #51093
National Bank of Lincoln,312349,807CE6720,801178A60,Corporation #23885
Savings Bank of Tuscon,5617,8075F7A40,80130CF00,Sole Proprietorship #4185
First Bank of the North,8106,807AB3BD0,80038F100,Corporation #58950
First Bank of Phoenix,17256,80745C950,8013DAD20,Partnership #7738
First Bank of Omaha,2368,801263EE0,800BF9B70,Sole Proprietorship #11920
National Bank of Denver,28958,80774F880,801237AF0,Sole Proprietorship #6881
National Bank of Albany,1638,8015B31A0,800174EA0,Sole Proprietorship #67156
National Bank of the West,215187,807157750,80049AEA0,Sole Proprietorship #10447
Savings Bank of Laramie,19589,80781AEE0,801439840,Partnership #5749
National Bank of Columbus,12,8077AD540,8014FA1B0,Corporation #1466
Plandor Federal Bank,22890,807B21300,800A8E860,Corporation #68561
Dawn Trust Bank,115114,807142BE0,800484CA0,Sole Proprietorship #10435
Capital Federal Bank,212730,8077AD0C0,800437A40,Sole Proprietorship #55494
Savings Bank of Miami,11701,801272850,80154EB30,Partnership #21999
First Bank of Houston,110821,8062EC570,8003FD7A0,Corporation #9374
First Bank of the South,1120,8074545B0,801031ED0,Corporation #10830
Plateau Community Bank,320151,8074D9890,800D67CD0,Sole Proprietorship #19094
Bank of Phoenix,110777,804310D90,8003F8500,Corporation #6880
Savings Bank of Detroit,394,802ADC960,8000D0960,Corporation #5128
Sea Bancorp,3718,807AC1520,80148AC50,Partnership #14602
Savings Bank of Watertown,1889,803F5CAA0,8001A3AC0,Corporation #50046
First Bank of the East,312326,8071C77C0,801545810,Partnership #10632
Bank of Seattle,15355,8041E41C0,80030ABE0,Corporation #6651
Oak Savings Bank,23410,804794DF0,800291300,Corporation #58902
National Bank of Newport,11671,804C198A0,80041FC20,Partnership #7239
Savings Bank of Watertown,18493,807ACDF90,8012D2770,Partnership #310
Arbor Federal Bank,22481,80731EC20,800220380,Sole Proprietorship #17628
First Bank of Topeka,17803,80757AAF0,80150B310,Sole Proprietorship #12045
First Bank of Indianapolis,17831,8071CB510,8013B39E0,Partnership #11004
Savings Bank of the North,11255,8058423C0,80012DBC0,Sole Proprietorship #51167
First Bank of Danbury,20,800B160B0,80005AA40,Sole Proprietorship #1888
Desert Bancorp,22031,802F87A50,801112570,Sole Proprietorship #24639
Fieldstone Credit Union,39775,8075E3BA0,8014F1BD0,Partnership #12002
Heath Savings Bank,23760,801C05210,8012FB100,Sole Proprietorship #4226
Savings Bank of Springfield,2860,806023BE0,8000F9D80,Partnership #57227
Savings Bank of Indianapolis,12702,807CB0C60,80153CFB0,Sole Proprietorship #1854
Bank of Indianapolis,8488,8076F2210,8012BF950,Partnership #10885
Savings Bank of Cleveland,3500,80747C840,800298520,Sole Proprietorship #65353
Plateau Credit Union,3202,80798DBF0,80153F6D0,Partnership #5540
Baltech Bank,5855,8072F1560,800EE17B0,Partnership #10353
First Bank of the South,26179,80516AA30,8010D0350,Partnership #10129
The Pine Thrift,349,802B3E360,801310AA0,Corporation #2833
Acme Community Bank,118536,80752B1B0,8005273A0,Corporation #10971
Heath Community Bank,117916,8074007A0,801514490,Partnership #8868
Bank of Indianapolis,11046,80517FC40,800101CC0,Partnership #17610
Spain Bank #14,1835,801C60800,8008A2120,Sole Proprietorship #28246
Dawn Bank,25526,80746A200,80129D7C0,Partnership #10486
First Bank of Houston,16739,807A10270,8004E6320,Partnership #18770
The Pine Thrift,349,8005C62E0,8000B8860,Corporation #51283
Bank of Augusta,19325,80734FBF0,800BB15E0,Corporation #7032
Savings Bank of Lincoln,316895,8075C6F90,8007860C0,Corporation #2569
First Bank of Chicago,112568,804D20A60,80042B440,Partnership #7345
National Bank of Pittsburgh,119174,807344DF0,8012CCF10,Sole Proprietorship #1045
National Bank of Philadelphia,11047,807343860,80010C2A0,Sole Proprietorship #70826
First Bank of Columbus,110856,8057FF940,80152B170,Partnership #20431
First Bank of Huron,2692,801E53990,8002331C0,Sole Proprietorship #4371
National Bank of Lincoln,22435,807BC8850,80020C2E0,Sole Proprietorship #11482
National Bank of Newport,14595,807C6EE10,8011F4690,Corporation #6840
Bank of Helena,3597,807362540,8013F5CE0,Corporation #3764
Sunrise Credit Union,12592,805684E60,800211EE0,Corporation #8042
Bank of Philadelphia,1217,807742720,8011EE690,Partnership #10928
China Bank #22,9096,803AA29D0,800D9B850,Partnership #37086
National Bank of Seattle,115943,8075D1710,8004B8A00,Corporation #68560
First Bank of Philadelphia,215766,807455600,801366BE0,Sole Proprietorship #10815
Bank of Arkadelphia,15786,803C57610,8003499A0,Partnership #50401
National Bank of Watertown,23571,8073807F0,8015290B0,Partnership #2788
National Bank of Pittsburgh,16866,807A72E90,8004E97C0,Partnership #60336
Savings Bank of Seattle,28102,803533CB0,800397900,Partnership #5809
Flagstone Thrift,11265,8007C7800,800131B40,Sole Proprietorship #1230
Brook Credit Union,22185,80775DF50,8001F16E0,Corporation #61387
First Bank of Cleveland,116473,80767A220,801372C60,Corporation #3161
Mountain Bancorp,12204,8073DFCF0,801414080,Corporation #5778
Willows Federal Bank,4187,807538870,8002CB880,Corporation #68558
National Bank of Pittsburgh,16866,8076ADE70,80124B7F0,Corporation #14971
Baltech Community Bank,321447,807C69740,800A274C0,Sole Proprietorship #10150
Savings Bank of Portland,27175,802CE7150,8014872F0,Corporation #1924
Bank of Denver,115216,807537520,80048BFA0,Partnership #10620
Savings Bank of Cleveland,3500,8074B8510,800298580,Corporation #10888
Savings Bank of Madison,11,806C85520,8000782D0,Sole Proprietorship #12699
Hilltop Credit Union,18747,805F55100,801512550,Sole Proprietorship #887
Bank of Milford,2545,8073650C0,8013AA780,Sole Proprietorship #9745
Brook Credit Union,22185,802694DA0,8001F0F00,Sole Proprietorship #8903
First Bank of Los Angeles,319500,80761ADB0,801307A20,Corporation #9089
Bank of Indianapolis,18890,80715C1F0,8003CCB00,Partnership #10233
Bank of Milford,2545,801433AD0,8002167C0,Partnership #34226
Willows Federal Bank,4187,80481F540,8002CA980,Partnership #52611
Regents Thrift,24950,8071CC500,8012FD340,Corporation #17655
Savings Bank of Columbus,5206,8056BC070,8012B8A60,Sole Proprietorship #12956
Desert Cooperative Bank,29448,80749BEF0,8003EC380,Corporation #10878
Bank of Phoenix,33776,8074D9D20,8013BFF80,Partnership #2630
City National Bank,21828,80755D420,8011BFBC0,Corporation #14497
Bank of New York,115771,80736E2F0,8004AD5A0,Sole Proprietorship #10618
Bank of Indianapolis,8488,80524BC50,8003A7320,Corporation #7771
Sea Bancorp,3718,804AC3310,8002BF900,Sole Proprietorship #7348
Capital Trust Bank,1110,807165360,800E8D7C0,Corporation #10540
First Bank of Danbury,20,8005C9190,800058BE0,Sole Proprietorship #18713
First Bank of Hartford,15284,80753F1B0,8004975E0,Partnership #23576
Savings Bank of Portland,27175,807A16F00,80127E380,Partnership #23665
First Bank of the West,11222,807277380,800126340,Partnership #70139
Bank of Arkadelphia,15786,802FDC3C0,8003496A0,Corporation #5401
Oak Savings Bank,113002,8075C3F90,800AE17C0,Sole Proprietorship #13811
National Bank of Topeka,216796,8075E4720,801540CB0,Partnership #12463
Savings Bank of Billings,22124,80751DCD0,8001DC7A0,Partnership #65222
First Bank of Hartford,1422,80080F140,800ED3F20,Corporation #2292
First Bank of Danbury,20,8001C6CC0,800049A90,Partnership #59343
National Bank of New Orleans,220188,807CD0070,801527230,Partnership #2456
First Bank of Lincoln,24633,803744FB0,8002E4E80,Sole Proprietorship #6170
First Bank of Philadelphia,19229,806020700,800F4DFB0,Partnership #8781
National Bank of Fort Wayne,18270,8074CCFA0,8011F5410,Partnership #6700
National Bank of Topeka,216796,807A4A4D0,8004ED560,Sole Proprietorship #53060
National Bank of Seattle,224,800AFB0A0,80008C200,Partnership #70140
Golden Community Bank,219705,807CE7FC0,801424180,Corporation #8079
National Bank of the North,18840,807534440,801367000,Corporation #10976
Oak Savings Bank,113002,8075DE5E0,80043B6C0,Sole Proprietorship #62221
Bank of Indianapolis,8488,8078937C0,80146A320,Sole Proprietorship #9812
Oasis Credit Union,1291,800BCB3A0,80131E110,Corporation #19909
Heath Savings Bank,23760,807A19E90,800CF1410,Corporation #7503
Bank of Indianapolis,11046,801561260,800100340,Partnership #69737
Oasis Bank,116342,80736E0B0,8012E93B0,Corporation #6416
National Bank of Milford,8814,807477D80,801346C80,Corporation #18942
Bank of Augusta,24216,8074BC450,801305280,Sole Proprietorship #17605
Flagstone Federal Bank,5571,80715B870,80031C340,Sole Proprietorship #65348
Regents Federal Bank,215571,8063BFBF0,8004B4E40,Corporation #68559
First Bank of Danbury,20,801496FF0,8015264F0,Corporation #76
Arbor Credit Union,316642,807CCF510,8014F9F10,Partnership #26030
First Bank of the Valley,13821,8031BDEA0,8002B8BC0,Corporation #5568
Bank of Arkadelphia,219368,8073D3C70,8014AF250,Corporation #10781
Willows Thrift,70,10042B660,8012B7660,Partnership #52
Spruce Federal Bank,31706,80737EBE0,8010B9D80,Partnership #4773
First Bank of the West,11222,800817720,800121180,Corporation #1158
Bank of Portland,22129,807A11240,8014FB1D0,Partnership #9048
First Bank of the West,217226,8075E7740,8004F6AA0,Sole Proprietorship #54217
