Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 02:53,6269,811C5D4B0,6269,811C5D4B0,194.62,Euro,194.62,Euro,Reinvestment,0
2022/09/09 18:58,17,80D2F2310,235943,80E4F6210,1488.13,Canadian Dollar,1488.13,Canadian Dollar,Cash,0
2022/09/10 12:45,115,8178CEE50,165768,81905B290,730.56,Saudi Riyal,730.56,Saudi Riyal,Credit Card,0
2022/09/05 16:06,19414,8073C7F30,23486,808AF6E00,744.51,Rupee,744.51,Rupee,Credit Card,0
2022/09/09 17:53,127004,80BBAE690,21444,8198A4F60,461.24,Euro,461.24,Euro,Cheque,0
2022/09/01 19:41,70,10042B6F0,112711,80FA90920,5783.39,Yuan,5783.39,Yuan,Cash,0
2022/09/02 01:47,23,800075BC0,19836,8038EB910,2037174.95,Yen,2037174.95,Yen,ACH,0
2022/09/02 05:01,11,801E3CE00,3718,802BD08D0,18133.87,US Dollar,18133.87,US Dollar,ACH,0
2022/09/08 00:53,13,80391E9C0,15726,806601560,97862.16,Yen,97862.16,Yen,Cheque,0
2022/09/08 01:12,114721,8061E60C0,156884,81987DBF0,20755.08,US Dollar,20755.08,US Dollar,Credit Card,0
2022/09/08 23:24,214,8197D1E81,71657,81AC60B21,1.288895,Bitcoin,1.288895,Bitcoin,Bitcoin,0
2022/09/09 05:14,70,10042B7C8,16,80B010BC0,8689.29,Ruble,8689.29,Ruble,Credit Card,0
2022/09/07 21:09,5923,802C1D6D0,5923,80448FC30,1089.41,Yuan,1089.41,Yuan,Cash,0
2022/09/01 19:07,149772,812B4FD90,116,813356100,4670.1,Brazil Real,4670.1,Brazil Real,Credit Card,0
2022/09/09 11:40,3471,809493870,220164,809493820,2501.15,Euro,2501.15,Euro,Cheque,0
2022/09/06 11:05,10073,8042DA970,212992,80FA171D0,2237.13,Yuan,2237.13,Yuan,Cheque,0
2022/09/02 23:35,6971,805CC5710,237318,8156C3B50,23.1,Euro,23.1,Euro,Credit Card,0
2022/09/08 23:57,1720,802805C60,6681,80F07C930,466.63,Euro,466.63,Euro,ACH,0
2022/09/04 23:19,20,803C6F9F0,13474,80A6F27D0,193656.75,US Dollar,193656.75,US Dollar,Cheque,0
2022/09/06 20:19,33599,80FC2B8C0,131649,81BD05FF0,38.61,Euro,38.61,Euro,ACH,0
2022/09/04 19:31,127530,811AEC550,223550,813704200,3413.49,US Dollar,3413.49,US Dollar,Cheque,0
2022/09/07 21:22,11,8000A8C80,142114,80F769110,368.95,Australian Dollar,368.95,Australian Dollar,Cheque,0
