Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 23:11,0063587,8175D6EC0,0063587,8175D6EC0,80.10,US Dollar,80.10,US Dollar,Reinvestment,0
2022/09/01 23:17,0216,81758EA20,0163470,8175D8A40,3955.31,US Dollar,3955.31,US Dollar,Cheque,0
2022/09/01 23:04,0216,81758EA20,0163470,8175D8A40,4353.77,US Dollar,4353.77,US Dollar,Credit Card,0
2022/09/14 23:25,0216,8175DD3A0,0216,8175DD3A0,426073.68,US Dollar,426073.68,US Dollar,Reinvestment,0
2022/09/01 23:09,0216,817204480,0263186,8175E9370,50264.51,US Dollar,50264.51,US Dollar,Cheque,0
2022/09/01 23:16,0063587,8175F0900,0063587,8175F0900,66.83,US Dollar,66.83,US Dollar,Reinvestment,0
2022/09/01 23:12,0018,81731C4E0,0163233,8175FC900,2655.87,US Dollar,2655.87,US Dollar,Cheque,0
2022/09/01 23:24,0018,81731C4E0,0163233,8175FC900,7614.57,US Dollar,7614.57,US Dollar,Credit Card,0
2022/09/01 23:22,0115,817605F50,0063940,817616CE0,1406.78,US Dollar,1406.78,US Dollar,Cheque,0
2022/09/01 23:23,0115,817605F50,0063940,817616CE0,2515.14,US Dollar,2515.14,US Dollar,Credit Card,0
2022/09/01 23:04,0115,817605F50,0063940,817616CE0,3895.27,US Dollar,3895.27,US Dollar,Cash,0
2022/09/01 23:01,0263025,81761BFD0,0263025,81761BFD0,809667.66,US Dollar,809667.66,US Dollar,Reinvestment,0
2022/09/01 23:12,0018,8174CD820,0063940,81761C960,2012.78,US Dollar,2012.78,US Dollar,Cheque,0
2022/09/01 23:18,0018,8174CD820,0063940,81761C960,5772.73,US Dollar,5772.73,US Dollar,Credit Card,0
2022/09/01 23:03,0018,8174CD820,0063940,81761C960,397.68,US Dollar,397.68,US Dollar,ACH,0
2022/09/01 23:06,0018,8174CD820,0063940,81761C960,597.70,US Dollar,597.70,US Dollar,Wire,0
2022/09/01 23:17,0063587,817627980,0063587,817627980,34.93,US Dollar,34.93,US Dollar,Reinvestment,0
2022/09/01 23:27,0163233,8175A10E0,0163233,8175A10E0,2709.50,US Dollar,2709.50,US Dollar,Reinvestment,0
2022/09/01 23:10,0063779,8175DE860,0263431,81762D500,336919.56,US Dollar,336919.56,US Dollar,Cheque,0
2022/09/14 23:25,0063779,8175DE860,0263431,81762D500,72949.23,US Dollar,72949.23,US Dollar,Credit Card,0
2022/09/14 23:25,0063779,8175DE860,0263431,81762D500,595048.64,US Dollar,595048.64,US Dollar,Cash,0
2022/09/01 23:04,0063779,8175DE860,0263431,81762D500,1274951.33,US Dollar,1274951.33,US Dollar,Wire,0
2022/09/01 23:21,0216,8173B2FC0,0216,8173B2FC0,10843.13,US Dollar,10843.13,US Dollar,Reinvestment,0
2022/09/14 23:25,0263025,817521A50,0263025,817521A50,51807.02,US Dollar,51807.02,US Dollar,Reinvestment,0
2022/09/01 23:00,0263025,8173ABEC0,0263025,8173ABEC0,208104.93,US Dollar,208104.93,US Dollar,Reinvestment,0
2022/09/14 23:25,0018,8175E3560,0263186,81767B0B0,2765.51,US Dollar,2765.51,US Dollar,Cheque,0
2022/09/01 23:10,0018,8175E3560,0263186,81767B0B0,1059.12,US Dollar,1059.12,US Dollar,Credit Card,0
2022/09/01 23:04,0216,8171E6240,0063587,817687010,7497.85,US Dollar,7497.85,US Dollar,Cheque,0
2022/09/01 23:29,0263025,817570330,0216,817688AE0,234705.89,US Dollar,234705.89,US Dollar,Cheque,0
2022/09/01 23:06,0263025,817570330,0216,817688AE0,36996.32,US Dollar,36996.32,US Dollar,ACH,0
2022/09/01 23:29,0163233,8175D6A80,0216,81769A000,5920.37,US Dollar,5920.37,US Dollar,Cheque,0
2022/09/01 23:13,0163233,8175D6A80,0216,81769A000,3338.28,US Dollar,3338.28,US Dollar,Credit Card,0
2022/09/01 23:08,0217,81769D550,0217,81769D550,52.91,US Dollar,52.91,US Dollar,Reinvestment,0
2022/09/01 23:21,0063779,817503180,0263431,8176A84D0,4671.37,US Dollar,4671.37,US Dollar,Cheque,0
2022/09/14 23:25,0063779,817503180,0263431,8176A84D0,5788.34,US Dollar,5788.34,US Dollar,Credit Card,0
2022/09/01 23:24,0263025,8176D58E0,0263025,8176D58E0,38.29,US Dollar,38.29,US Dollar,Reinvestment,0
2022/09/01 23:24,0163897,8176D9EF0,0163897,8176D9EF0,1155321.53,US Dollar,1155321.53,US Dollar,Reinvestment,0
2022/09/01 23:04,0064059,8176B0860,0064059,8176B0860,86.29,US Dollar,86.29,US Dollar,Reinvestment,0
2022/09/01 23:07,0064057,8176954C0,0163897,8176DFB30,139714.76,US Dollar,139714.76,US Dollar,Cheque,0
2022/09/01 23:08,070,10042BA08,0063779,8176E94A0,1269.23,US Dollar,1269.23,US Dollar,Cheque,0
2022/09/01 23:11,070,10042BA08,0063779,8176E94A0,2653.16,US Dollar,2653.16,US Dollar,Cash,0
2022/09/01 23:15,0263025,8176E3A10,0263025,8176E3A10,227101.09,US Dollar,227101.09,US Dollar,Reinvestment,0
2022/09/01 23:22,0018,8176F4190,0018,8176F4190,28229.23,US Dollar,28229.23,US Dollar,Reinvestment,0
2022/09/01 23:21,0263574,8174AB5E0,0263574,8174AB5E0,73.97,US Dollar,73.97,US Dollar,Reinvestment,0
2022/09/01 23:19,070,10042BA08,0063587,8177FF640,1351.17,US Dollar,1351.17,US Dollar,Cheque,0
2022/09/01 23:17,0115,817526F00,0263186,81780B1A0,322.19,US Dollar,322.19,US Dollar,Cheque,0
2022/09/01 23:04,0115,817526F00,0263186,81780B1A0,271.09,US Dollar,271.09,US Dollar,Credit Card,0
2022/09/14 23:25,0216,8173728E0,0216,81780B5B0,2009.97,US Dollar,2009.97,US Dollar,Cheque,0
2022/09/01 23:07,0216,8173728E0,0216,81780B5B0,9007.72,US Dollar,9007.72,US Dollar,Credit Card,0
2022/09/01 23:07,0115,8177D5C10,0263574,817830B70,2125.52,US Dollar,2125.52,US Dollar,Cheque,0
2022/09/01 23:17,0115,8177D5C10,0263574,817830B70,1298.68,US Dollar,1298.68,US Dollar,Cash,0
2022/09/01 23:26,0064059,817835830,0064059,817835830,85.77,US Dollar,85.77,US Dollar,Reinvestment,0
2022/09/01 23:20,0363786,8178473A0,0363786,8178473A0,12554.00,US Dollar,12554.00,US Dollar,Reinvestment,0
2022/09/01 23:14,0115,817894850,0115,817894850,34588.95,US Dollar,34588.95,US Dollar,Reinvestment,0
2022/09/01 23:24,0163897,817898B90,0163897,817898B90,66.69,US Dollar,66.69,US Dollar,Reinvestment,0
2022/09/01 23:28,0163233,817319200,0216,81789AF20,443.06,US Dollar,443.06,US Dollar,Cheque,0
2022/09/01 23:28,0163233,817319200,0216,81789AF20,768.21,US Dollar,768.21,US Dollar,Credit Card,0
2022/09/01 23:16,0063940,81789A170,0064059,81789A210,5900240.18,US Dollar,5900240.18,US Dollar,ACH,0
